name,price,rating,url
Xiaomi Redmi Note 14 Pro,"৳.29,999",3,https://www.mobiledokan.com/mobile/xiaomi-redmi-note-14-pro
Xiaomi Redmi Note 14,৳23999,3,https://www.mobiledokan.com/mobile/xiaomi-redmi-note-14
Xiaomi Redmi 14C,৳13999,3,https://www.mobiledokan.com/mobile/xiaomi-redmi-14c
Oppo Find X8s,"৳.85,000",3,https://www.mobiledokan.com/mobile/oppo-find-x8s
Samsung Galaxy S25 Edge,"৳.130,000",3,https://www.mobiledokan.com/mobile/samsung-galaxy-s25-edge
Motorola Razr 60 Ultra,"৳.155,000",3,https://www.mobiledokan.com/mobile/motorola-razr-60-ultra
Motorola Edge 60 Pro,"৳.49,000",3,https://www.mobiledokan.com/mobile/motorola-edge-60-pro
Walton Orbit Y13,"৳.7,999",3,https://www.mobiledokan.com/mobile/walton-orbit-y13
ZTE nubia Z70S Ultra,"৳.110,000",3,https://www.mobiledokan.com/mobile/zte-nubia-z70s-ultra
Xiaomi 15S Pro,"৳.117,500",3,https://www.mobiledokan.com/mobile/xiaomi-15s-pro
Huawei Mate 70 Pro,"৳.195,000",3,https://www.mobiledokan.com/mobile/huawei-mate-70-pro
Huawei Mate 70 Pro Plus,"৳.220,000",3,https://www.mobiledokan.com/mobile/huawei-mate-70-pro-plus
Realme Neo7 SE,"৳.47,000",3,https://www.mobiledokan.com/mobile/realme-neo7-se
Honor Power,"৳.50,000",3,https://www.mobiledokan.com/mobile/honor-power
Vivo V50 Lite 5G,"৳.28,500",3,https://www.mobiledokan.com/mobile/vivo-v50-lite-5g
Walton Orbit Y13,"৳.7,999",3,https://www.mobiledokan.com/mobile/walton-orbit-y13
Infinix GT 30 Pro,"৳.41,999",3,https://www.mobiledokan.com/mobile/infinix-gt-30-pro
Honor 400 Pro,"৳.51,999",3,https://www.mobiledokan.com/mobile/honor-400-pro
Honor 400,"৳.43,999",3,https://www.mobiledokan.com/mobile/honor-400
Oppo Find X8s,"৳.85,000",3,https://www.mobiledokan.com/mobile/oppo-find-x8s
Motorola Edge 60 Pro,"৳.49,000",3,https://www.mobiledokan.com/mobile/motorola-edge-60-pro
Motorola Razr 60 Ultra,"৳.155,000",3,https://www.mobiledokan.com/mobile/motorola-razr-60-ultra
Samsung Galaxy S25 Edge,"৳.130,000",3,https://www.mobiledokan.com/mobile/samsung-galaxy-s25-edge
Honor 400 (China),"৳.50,000",3,https://www.mobiledokan.com/mobile/honor-400-china
Honor 400 Pro (China),"৳.60,000",3,https://www.mobiledokan.com/mobile/honor-400-pro-china
Vivo S30 Pro Mini,"৳.65,000",3,https://www.mobiledokan.com/mobile/vivo-s30-pro-mini
Vivo S30,"৳.50,000",3,https://www.mobiledokan.com/mobile/vivo-s30
Realme Neo7 Turbo,"৳.35,000",3,https://www.mobiledokan.com/mobile/realme-neo7-turbo
Tecno Pova Curve,"৳.25,000",3,https://www.mobiledokan.com/mobile/tecno-pova-curve
